round,date,time,team1,team2,score/ht/0,score/ht/1,score/ft/0,score/ft/1,status
Matchday 1,2022-08-05,20:35,Eintracht Frankfurt,FC Bayern München,0,5,1,6,
Matchday 1,2022-08-06,15:30,FC Augsburg,SC Freiburg,0,0,0,4,
Matchday 1,2022-08-06,15:30,VfL Bochum 1848,1. FSV Mainz 05,1,1,1,2,
Matchday 1,2022-08-06,15:30,VfL Wolfsburg,SV Werder Bremen,1,2,2,2,
Matchday 1,2022-08-06,15:30,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1,1,3,1,
Matchday 1,2022-08-06,15:30,1. FC Union Berlin,Hertha BSC,1,0,3,1,
Matchday 1,2022-08-06,18:30,Borussia Dortmund,Bayer 04 Leverkusen,1,0,1,0,
Matchday 1,2022-08-07,15:30,VfB Stuttgart,RB Leipzig,1,1,1,1,
Matchday 1,2022-08-07,17:30,1. FC Köln,FC Schalke 04,0,0,3,1,
Matchday 2,2022-08-12,20:30,SC Freiburg,Borussia Dortmund,1,0,1,3,
Matchday 2,2022-08-13,15:30,SV Werder Bremen,VfB Stuttgart,1,1,2,2,
Matchday 2,2022-08-13,15:30,Hertha BSC,Eintracht Frankfurt,1,0,1,1,
Matchday 2,2022-08-13,15:30,TSG 1899 Hoffenheim,VfL Bochum 1848,2,2,3,2,
Matchday 2,2022-08-13,15:30,RB Leipzig,1. FC Köln,1,1,2,2,
Matchday 2,2022-08-13,15:30,Bayer 04 Leverkusen,FC Augsburg,1,1,1,2,
Matchday 2,2022-08-13,18:30,FC Schalke 04,Borussia Mönchengladbach,1,0,2,2,
Matchday 2,2022-08-14,15:30,1. FSV Mainz 05,1. FC Union Berlin,,,0,0,
Matchday 2,2022-08-14,17:30,FC Bayern München,VfL Wolfsburg,2,0,2,0,
Matchday 3,2022-08-19,20:30,Borussia Mönchengladbach,Hertha BSC,1,0,1,0,
Matchday 3,2022-08-20,15:30,VfB Stuttgart,SC Freiburg,0,1,0,1,
Matchday 3,2022-08-20,15:30,FC Augsburg,1. FSV Mainz 05,1,1,1,2,
Matchday 3,2022-08-20,15:30,VfL Wolfsburg,FC Schalke 04,,,0,0,
Matchday 3,2022-08-20,15:30,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0,2,0,3,
Matchday 3,2022-08-20,15:30,Borussia Dortmund,SV Werder Bremen,1,0,2,3,
Matchday 3,2022-08-20,18:30,1. FC Union Berlin,RB Leipzig,2,0,2,1,
Matchday 3,2022-08-21,15:30,Eintracht Frankfurt,1. FC Köln,0,0,1,1,
Matchday 3,2022-08-21,17:30,VfL Bochum 1848,FC Bayern München,0,4,0,7,
Matchday 4,2022-08-26,20:30,SC Freiburg,VfL Bochum 1848,0,0,1,0,
Matchday 4,2022-08-27,15:30,FC Schalke 04,1. FC Union Berlin,1,3,1,6,
Matchday 4,2022-08-27,15:30,Hertha BSC,Borussia Dortmund,0,1,0,1,
Matchday 4,2022-08-27,15:30,TSG 1899 Hoffenheim,FC Augsburg,1,0,1,0,
Matchday 4,2022-08-27,15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,0,3,0,3,
Matchday 4,2022-08-27,15:30,RB Leipzig,VfL Wolfsburg,1,0,2,0,
Matchday 4,2022-08-27,18:30,FC Bayern München,Borussia Mönchengladbach,0,1,1,1,
Matchday 4,2022-08-28,15:30,1. FC Köln,VfB Stuttgart,,,0,0,
Matchday 4,2022-08-28,17:30,SV Werder Bremen,Eintracht Frankfurt,2,3,3,4,
Matchday 5,2022-09-02,20:30,Borussia Dortmund,TSG 1899 Hoffenheim,1,0,1,0,
Matchday 5,2022-09-03,15:30,VfB Stuttgart,FC Schalke 04,1,1,1,1,
Matchday 5,2022-09-03,15:30,VfL Bochum 1848,SV Werder Bremen,0,0,0,2,
Matchday 5,2022-09-03,15:30,VfL Wolfsburg,1. FC Köln,1,3,2,4,
Matchday 5,2022-09-03,15:30,1. FC Union Berlin,FC Bayern München,1,1,1,1,
Matchday 5,2022-09-03,15:30,Bayer 04 Leverkusen,SC Freiburg,1,0,2,3,
Matchday 5,2022-09-03,18:30,Eintracht Frankfurt,RB Leipzig,2,0,4,0,
Matchday 5,2022-09-04,15:30,FC Augsburg,Hertha BSC,0,0,0,2,
Matchday 5,2022-09-04,17:30,Borussia Mönchengladbach,1. FSV Mainz 05,0,0,0,1,
Matchday 6,2022-09-09,20:30,SV Werder Bremen,FC Augsburg,0,0,0,1,
Matchday 6,2022-09-10,15:30,Hertha BSC,Bayer 04 Leverkusen,0,0,2,2,
Matchday 6,2022-09-10,15:30,Eintracht Frankfurt,VfL Wolfsburg,0,0,0,1,
Matchday 6,2022-09-10,15:30,TSG 1899 Hoffenheim,1. FSV Mainz 05,0,0,4,1,
Matchday 6,2022-09-10,15:30,RB Leipzig,Borussia Dortmund,2,0,3,0,
Matchday 6,2022-09-10,15:30,FC Bayern München,VfB Stuttgart,1,0,2,2,
Matchday 6,2022-09-10,18:30,FC Schalke 04,VfL Bochum 1848,1,0,3,1,
Matchday 6,2022-09-11,15:30,1. FC Köln,1. FC Union Berlin,0,1,0,1,
Matchday 6,2022-09-11,17:30,SC Freiburg,Borussia Mönchengladbach,,,0,0,
Matchday 7,2022-09-16,20:30,1. FSV Mainz 05,Hertha BSC,0,1,1,1,
Matchday 7,2022-09-17,15:30,VfB Stuttgart,Eintracht Frankfurt,0,1,1,3,
Matchday 7,2022-09-17,15:30,FC Augsburg,FC Bayern München,0,0,1,0,
Matchday 7,2022-09-17,15:30,Bayer 04 Leverkusen,SV Werder Bremen,0,0,1,1,
Matchday 7,2022-09-17,15:30,Borussia Dortmund,FC Schalke 04,0,0,1,0,
Matchday 7,2022-09-17,18:30,Borussia Mönchengladbach,RB Leipzig,2,0,3,0,
